"V1" "V2" "V3" "V1.1" "V2.1" "V6"
"1700084J12Rik" "ENSMUSG00000058101_1700084J12Rik" "transcribed_processed_pseudogene" "15" "ENSMUSG00000058101" "1700084J12Rik" "1700084J12Rik"
"Olfr127" "ENSMUSG00000058114_Olfr127" "protein_coding" "17" "ENSMUSG00000058114" "Olfr127" "Olfr127"
"Gm5771" "ENSMUSG00000058119_Gm5771" "protein_coding" "6" "ENSMUSG00000058119" "Gm5771" "Gm5771"
"Tpm3-rs7" "ENSMUSG00000058126_Tpm3-rs7" "protein_coding" "14" "ENSMUSG00000058126" "Tpm3-rs7" "Tpm3-rs7"
"Vmn1r82" "ENSMUSG00000058132_Vmn1r82" "protein_coding" "7" "ENSMUSG00000058132" "Vmn1r82" "Vmn1r82"
"Gstm1" "ENSMUSG00000058135_Gstm1" "protein_coding" "3" "ENSMUSG00000058135" "Gstm1" "Gstm1"
"Adamts17" "ENSMUSG00000058145_Adamts17" "protein_coding" "7" "ENSMUSG00000058145" "Adamts17" "Adamts17"
"Xlr3c" "ENSMUSG00000058147_Xlr3c" "protein_coding" "X" "ENSMUSG00000058147" "Xlr3c" "Xlr3c"
"Chsy3" "ENSMUSG00000058152_Chsy3" "protein_coding" "18" "ENSMUSG00000058152" "Chsy3" "Chsy3"
"Sez6l" "ENSMUSG00000058153_Sez6l" "protein_coding" "5" "ENSMUSG00000058153" "Sez6l" "Sez6l"
"T2" "ENSMUSG00000058159_T2" "protein_coding" "17" "ENSMUSG00000058159" "T2" "T2"
"Gm5431" "ENSMUSG00000058163_Gm5431" "protein_coding" "11" "ENSMUSG00000058163" "Gm5431" "Gm5431"
"Smco4" "ENSMUSG00000058173_Smco4" "protein_coding" "9" "ENSMUSG00000058173" "Smco4" "Smco4"
"Gm5148" "ENSMUSG00000058174_Gm5148" "protein_coding" "3" "ENSMUSG00000058174" "Gm5148" "Gm5148"
"Mmel1" "ENSMUSG00000058183_Mmel1" "protein_coding" "4" "ENSMUSG00000058183" "Mmel1" "Mmel1"
"Zfp980" "ENSMUSG00000058186_Zfp980" "protein_coding" "4" "ENSMUSG00000058186" "Zfp980" "Zfp980"
"Olfr746" "ENSMUSG00000058188_Olfr746" "protein_coding" "14" "ENSMUSG00000058188" "Olfr746" "Olfr746"
"Zfp846" "ENSMUSG00000058192_Zfp846" "protein_coding" "9" "ENSMUSG00000058192" "Zfp846" "Zfp846"
"Olfr1126" "ENSMUSG00000058194_Olfr1126" "protein_coding" "2" "ENSMUSG00000058194" "Olfr1126" "Olfr1126"
"Olfr66" "ENSMUSG00000058200_Olfr66" "protein_coding" "7" "ENSMUSG00000058200" "Olfr66" "Olfr66"
"Gstp3" "ENSMUSG00000058216_Gstp3" "protein_coding" "19" "ENSMUSG00000058216" "Gstp3" "Gstp3"
"Arhgap35" "ENSMUSG00000058230_Arhgap35" "protein_coding" "7" "ENSMUSG00000058230" "Arhgap35" "Arhgap35"
"Usf2" "ENSMUSG00000058239_Usf2" "protein_coding" "7" "ENSMUSG00000058239" "Usf2" "Usf2"
"Cryzl1" "ENSMUSG00000058240_Cryzl1" "protein_coding" "16" "ENSMUSG00000058240" "Cryzl1" "Cryzl1"
"Olfr506" "ENSMUSG00000058244_Olfr506" "protein_coding" "7" "ENSMUSG00000058244" "Olfr506" "Olfr506"
"Gm10037" "ENSMUSG00000058246_Gm10037" "protein_coding" "13" "ENSMUSG00000058246" "Gm10037" "Gm10037"
"Kcnh1" "ENSMUSG00000058248_Kcnh1" "protein_coding" "1" "ENSMUSG00000058248" "Kcnh1" "Kcnh1"
"Olfr822" "ENSMUSG00000058251_Olfr822" "protein_coding" "10" "ENSMUSG00000058251" "Olfr822" "Olfr822"
"Tcp11x2" "ENSMUSG00000058252_Tcp11x2" "protein_coding" "X" "ENSMUSG00000058252" "Tcp11x2" "Tcp11x2"
"Tspan7" "ENSMUSG00000058254_Tspan7" "protein_coding" "X" "ENSMUSG00000058254" "Tspan7" "Tspan7"
"Idi1" "ENSMUSG00000058258_Idi1" "protein_coding" "13" "ENSMUSG00000058258" "Idi1" "Idi1"
"Serpina9" "ENSMUSG00000058260_Serpina9" "protein_coding" "12" "ENSMUSG00000058260" "Serpina9" "Serpina9"
"Mrps14" "ENSMUSG00000058267_Mrps14" "protein_coding" "1" "ENSMUSG00000058267" "Mrps14" "Mrps14"
"Olfr25" "ENSMUSG00000058270_Olfr25" "protein_coding" "9" "ENSMUSG00000058270" "Olfr25" "Olfr25"
"Gm12253" "ENSMUSG00000058287_Gm12253" "protein_coding" "11" "ENSMUSG00000058287" "Gm12253" "Gm12253"
"Espl1" "ENSMUSG00000058290_Espl1" "protein_coding" "15" "ENSMUSG00000058290" "Espl1" "Espl1"
"Zfp68" "ENSMUSG00000058291_Zfp68" "protein_coding" "5" "ENSMUSG00000058291" "Zfp68" "Zfp68"
"Prp2" "ENSMUSG00000058295_Prp2" "protein_coding" "6" "ENSMUSG00000058295" "Prp2" "Prp2"
"Spock2" "ENSMUSG00000058297_Spock2" "protein_coding" "10" "ENSMUSG00000058297" "Spock2" "Spock2"
"Mcm9" "ENSMUSG00000058298_Mcm9" "protein_coding" "10" "ENSMUSG00000058298" "Mcm9" "Mcm9"
"Upf1" "ENSMUSG00000058301_Upf1" "protein_coding" "8" "ENSMUSG00000058301" "Upf1" "Upf1"
"Ube2e2" "ENSMUSG00000058317_Ube2e2" "protein_coding" "14" "ENSMUSG00000058317" "Ube2e2" "Ube2e2"
"Phf21a" "ENSMUSG00000058318_Phf21a" "protein_coding" "2" "ENSMUSG00000058318" "Phf21a" "Phf21a"
"Dock1" "ENSMUSG00000058325_Dock1" "protein_coding" "7" "ENSMUSG00000058325" "Dock1" "Dock1"
"Xlr5a" "ENSMUSG00000058328_Xlr5a" "protein_coding" "X" "ENSMUSG00000058328" "Xlr5a" "Xlr5a"
"Zfp85" "ENSMUSG00000058331_Zfp85" "protein_coding" "13" "ENSMUSG00000058331" "Zfp85" "Zfp85"
"Tas2r117" "ENSMUSG00000058349_Tas2r117" "protein_coding" "6" "ENSMUSG00000058349" "Tas2r117" "Tas2r117"
"Smim4" "ENSMUSG00000058351_Smim4" "protein_coding" "14" "ENSMUSG00000058351" "Smim4" "Smim4"
"Abce1" "ENSMUSG00000058355_Abce1" "protein_coding" "8" "ENSMUSG00000058355" "Abce1" "Abce1"
"Gm6612" "ENSMUSG00000058357_Gm6612" "processed_pseudogene" "15" "ENSMUSG00000058357" "Gm6612" "Gm6612"
"Hist1h2bg" "ENSMUSG00000058385_Hist1h2bg" "protein_coding" "13" "ENSMUSG00000058385" "Hist1h2bg" "Hist1h2bg"
"Phtf1" "ENSMUSG00000058388_Phtf1" "protein_coding" "3" "ENSMUSG00000058388" "Phtf1" "Phtf1"
"Rrp1b" "ENSMUSG00000058392_Rrp1b" "protein_coding" "17" "ENSMUSG00000058392" "Rrp1b" "Rrp1b"
"Gpr182" "ENSMUSG00000058396_Gpr182" "protein_coding" "10" "ENSMUSG00000058396" "Gpr182" "Gpr182"
"Prss43" "ENSMUSG00000058398_Prss43" "protein_coding" "9" "ENSMUSG00000058398" "Prss43" "Prss43"
"Qrfpr" "ENSMUSG00000058400_Qrfpr" "protein_coding" "3" "ENSMUSG00000058400" "Qrfpr" "Qrfpr"
"Zfp420" "ENSMUSG00000058402_Zfp420" "protein_coding" "7" "ENSMUSG00000058402" "Zfp420" "Zfp420"
"Txndc9" "ENSMUSG00000058407_Txndc9" "protein_coding" "1" "ENSMUSG00000058407" "Txndc9" "Txndc9"
"Syt17" "ENSMUSG00000058420_Syt17" "protein_coding" "7" "ENSMUSG00000058420" "Syt17" "Syt17"
"Cxcl2" "ENSMUSG00000058427_Cxcl2" "protein_coding" "5" "ENSMUSG00000058427" "Cxcl2" "Cxcl2"
"Rpl27a-ps2" "ENSMUSG00000058430_Rpl27a-ps2" "processed_pseudogene" "14" "ENSMUSG00000058430" "Rpl27a-ps2" "Rpl27a-ps2"
"Nrf1" "ENSMUSG00000058440_Nrf1" "protein_coding" "6" "ENSMUSG00000058440" "Nrf1" "Nrf1"
"Panx2" "ENSMUSG00000058441_Panx2" "protein_coding" "15" "ENSMUSG00000058441" "Panx2" "Panx2"
"Map2k5" "ENSMUSG00000058444_Map2k5" "protein_coding" "9" "ENSMUSG00000058444" "Map2k5" "Map2k5"
"Znrf2" "ENSMUSG00000058446_Znrf2" "protein_coding" "6" "ENSMUSG00000058446" "Znrf2" "Znrf2"
"Gm26920" "ENSMUSG00000058447_Gm26920" "protein_coding" "7" "ENSMUSG00000058447" "Gm26920" "Gm26920"
"Dhcr7" "ENSMUSG00000058454_Dhcr7" "protein_coding" "7" "ENSMUSG00000058454" "Dhcr7" "Dhcr7"
"Gm5471" "ENSMUSG00000058463_Gm5471" "processed_pseudogene" "15" "ENSMUSG00000058463" "Gm5471" "Gm5471"
"Gm8369" "ENSMUSG00000058470_Gm8369" "protein_coding" "19" "ENSMUSG00000058470" "Gm8369" "Gm8369"
"Wdr91" "ENSMUSG00000058486_Wdr91" "protein_coding" "6" "ENSMUSG00000058486" "Wdr91" "Wdr91"
"Kl" "ENSMUSG00000058488_Kl" "protein_coding" "5" "ENSMUSG00000058488" "Kl" "Kl"
"Olfr869" "ENSMUSG00000058491_Olfr869" "protein_coding" "9" "ENSMUSG00000058491" "Olfr869" "Olfr869"
"Scp2-ps2" "ENSMUSG00000058492_Scp2-ps2" "transcribed_unprocessed_pseudogene" "9" "ENSMUSG00000058492" "Scp2-ps2" "Scp2-ps2"
"Rnf207" "ENSMUSG00000058498_Rnf207" "protein_coding" "4" "ENSMUSG00000058498" "Rnf207" "Rnf207"
"Fam133b" "ENSMUSG00000058503_Fam133b" "protein_coding" "5" "ENSMUSG00000058503" "Fam133b" "Fam133b"
"Olfr801" "ENSMUSG00000058513_Olfr801" "protein_coding" "10" "ENSMUSG00000058513" "Olfr801" "Olfr801"
"Olfr933" "ENSMUSG00000058515_Olfr933" "protein_coding" "9" "ENSMUSG00000058515" "Olfr933" "Olfr933"
"Mup5" "ENSMUSG00000058523_Mup5" "protein_coding" "4" "ENSMUSG00000058523" "Mup5" "Mup5"
"Gm15590" "ENSMUSG00000058542_Gm15590" "processed_pseudogene" "17" "ENSMUSG00000058542" "Gm15590" "Gm15590"
"Rpl23a" "ENSMUSG00000058546_Rpl23a" "protein_coding" "11" "ENSMUSG00000058546" "Rpl23a" "Rpl23a"
"Rpl5" "ENSMUSG00000058558_Rpl5" "protein_coding" "5" "ENSMUSG00000058558" "Rpl5" "Rpl5"
"Gm2531" "ENSMUSG00000058567_Gm2531" "pseudogene" "18" "ENSMUSG00000058567" "Gm2531" "Gm2531"
"Tmed9" "ENSMUSG00000058569_Tmed9" "protein_coding" "13" "ENSMUSG00000058569" "Tmed9" "Tmed9"
"Gpc6" "ENSMUSG00000058571_Gpc6" "protein_coding" "14" "ENSMUSG00000058571" "Gpc6" "Gpc6"
"Gm5801" "ENSMUSG00000058581_Gm5801" "processed_pseudogene" "14" "ENSMUSG00000058581" "Gm5801" "Gm5801"
"Serhl" "ENSMUSG00000058586_Serhl" "protein_coding" "15" "ENSMUSG00000058586" "Serhl" "Serhl"
"Tmod3" "ENSMUSG00000058587_Tmod3" "protein_coding" "9" "ENSMUSG00000058587" "Tmod3" "Tmod3"
"Anks1b" "ENSMUSG00000058589_Anks1b" "protein_coding" "10" "ENSMUSG00000058589" "Anks1b" "Anks1b"
"Gm6462" "ENSMUSG00000058590_Gm6462" "processed_pseudogene" "1" "ENSMUSG00000058590" "Gm6462" "Gm6462"
"Fbxo18" "ENSMUSG00000058594_Fbxo18" "protein_coding" "2" "ENSMUSG00000058594" "Fbxo18" "Fbxo18"
"Rpl30" "ENSMUSG00000058600_Rpl30" "protein_coding" "15" "ENSMUSG00000058600" "Rpl30" "Rpl30"
"Rpl28-ps1" "ENSMUSG00000058603_Rpl28-ps1" "processed_pseudogene" "1" "ENSMUSG00000058603" "Rpl28-ps1" "Rpl28-ps1"
"Rpl31-ps20" "ENSMUSG00000058607_Rpl31-ps20" "processed_pseudogene" "19" "ENSMUSG00000058607" "Rpl31-ps20" "Rpl31-ps20"
"Cyp2d41-ps" "ENSMUSG00000058613_Cyp2d41-ps" "unprocessed_pseudogene" "15" "ENSMUSG00000058613" "Cyp2d41-ps" "Cyp2d41-ps"
"Adra2b" "ENSMUSG00000058620_Adra2b" "protein_coding" "2" "ENSMUSG00000058620" "Adra2b" "Adra2b"
"Gm5265" "ENSMUSG00000058622_Gm5265" "processed_pseudogene" "1" "ENSMUSG00000058622" "Gm5265" "Gm5265"
"Gda" "ENSMUSG00000058624_Gda" "protein_coding" "19" "ENSMUSG00000058624" "Gda" "Gda"
"Gm17383" "ENSMUSG00000058625_Gm17383" "pseudogene" "18" "ENSMUSG00000058625" "Gm17383" "Gm17383"
"Capn11" "ENSMUSG00000058626_Capn11" "protein_coding" "17" "ENSMUSG00000058626" "Capn11" "Capn11"
"Olfr875" "ENSMUSG00000058628_Olfr875" "protein_coding" "9" "ENSMUSG00000058628" "Olfr875" "Olfr875"
"Zfp110" "ENSMUSG00000058638_Zfp110" "protein_coding" "7" "ENSMUSG00000058638" "Zfp110" "Zfp110"
"Speer4f1" "ENSMUSG00000058643_Speer4f1" "protein_coding" "5" "ENSMUSG00000058643" "Speer4f1" "Speer4f1"
"Eif4b" "ENSMUSG00000058655_Eif4b" "protein_coding" "15" "ENSMUSG00000058655" "Eif4b" "Eif4b"
"Samd12" "ENSMUSG00000058656_Samd12" "protein_coding" "15" "ENSMUSG00000058656" "Samd12" "Samd12"
"Olfr58" "ENSMUSG00000058659_Olfr58" "protein_coding" "9" "ENSMUSG00000058659" "Olfr58" "Olfr58"
"Olfr69" "ENSMUSG00000058662_Olfr69" "protein_coding" "7" "ENSMUSG00000058662" "Olfr69" "Olfr69"
"En1" "ENSMUSG00000058665_En1" "protein_coding" "1" "ENSMUSG00000058665" "En1" "En1"
"Nkx2-9" "ENSMUSG00000058669_Nkx2-9" "protein_coding" "12" "ENSMUSG00000058669" "Nkx2-9" "Nkx2-9"
"4932411N23Rik" "ENSMUSG00000058670_4932411N23Rik" "protein_coding" "X" "ENSMUSG00000058670" "4932411N23Rik" "4932411N23Rik"
"Tubb2a" "ENSMUSG00000058672_Tubb2a" "protein_coding" "13" "ENSMUSG00000058672" "Tubb2a" "Tubb2a"
"Vmn2r51" "ENSMUSG00000058685_Vmn2r51" "protein_coding" "7" "ENSMUSG00000058685" "Vmn2r51" "Vmn2r51"
"Ccser2" "ENSMUSG00000058690_Ccser2" "protein_coding" "14" "ENSMUSG00000058690" "Ccser2" "Ccser2"
"Olfr846" "ENSMUSG00000058692_Olfr846" "protein_coding" "9" "ENSMUSG00000058692" "Olfr846" "Olfr846"
"Rpl21-ps12" "ENSMUSG00000058700_Rpl21-ps12" "processed_pseudogene" "6" "ENSMUSG00000058700" "Rpl21-ps12" "Rpl21-ps12"
"Memo1" "ENSMUSG00000058704_Memo1" "protein_coding" "17" "ENSMUSG00000058704" "Memo1" "Memo1"
"0610030E20Rik" "ENSMUSG00000058706_0610030E20Rik" "protein_coding" "6" "ENSMUSG00000058706" "0610030E20Rik" "0610030E20Rik"
"Egln2" "ENSMUSG00000058709_Egln2" "protein_coding" "7" "ENSMUSG00000058709" "Egln2" "Egln2"
"Fcer1g" "ENSMUSG00000058715_Fcer1g" "protein_coding" "1" "ENSMUSG00000058715" "Fcer1g" "Fcer1g"
"Gm4763" "ENSMUSG00000058717_Gm4763" "protein_coding" "7" "ENSMUSG00000058717" "Gm4763" "Gm4763"
"Cd300c" "ENSMUSG00000058728_Cd300c" "protein_coding" "11" "ENSMUSG00000058728" "Cd300c" "Cd300c"
"Lin9" "ENSMUSG00000058729_Lin9" "protein_coding" "1" "ENSMUSG00000058729" "Lin9" "Lin9"
"Kcnt1" "ENSMUSG00000058740_Kcnt1" "protein_coding" "2" "ENSMUSG00000058740" "Kcnt1" "Kcnt1"
"Prr19" "ENSMUSG00000058741_Prr19" "protein_coding" "7" "ENSMUSG00000058741" "Prr19" "Prr19"
"Kcnj14" "ENSMUSG00000058743_Kcnj14" "protein_coding" "7" "ENSMUSG00000058743" "Kcnj14" "Kcnj14"
"Zfp958" "ENSMUSG00000058748_Zfp958" "protein_coding" "8" "ENSMUSG00000058748" "Zfp958" "Zfp958"
"Osm" "ENSMUSG00000058755_Osm" "protein_coding" "11" "ENSMUSG00000058755" "Osm" "Osm"
"Thra" "ENSMUSG00000058756_Thra" "protein_coding" "11" "ENSMUSG00000058756" "Thra" "Thra"
"Rnf169" "ENSMUSG00000058761_Rnf169" "protein_coding" "7" "ENSMUSG00000058761" "Rnf169" "Rnf169"
"Cds2" "ENSMUSG00000058793_Cds2" "protein_coding" "2" "ENSMUSG00000058793" "Cds2" "Cds2"
"Nfe2" "ENSMUSG00000058794_Nfe2" "protein_coding" "15" "ENSMUSG00000058794" "Nfe2" "Nfe2"
"Nap1l1" "ENSMUSG00000058799_Nap1l1" "protein_coding" "10" "ENSMUSG00000058799" "Nap1l1" "Nap1l1"
"Col13a1" "ENSMUSG00000058806_Col13a1" "protein_coding" "10" "ENSMUSG00000058806" "Col13a1" "Col13a1"
"Hspd1-ps3" "ENSMUSG00000058809_Hspd1-ps3" "processed_pseudogene" "11" "ENSMUSG00000058809" "Hspd1-ps3" "Hspd1-ps3"
"0610039K10Rik" "ENSMUSG00000058812_0610039K10Rik" "antisense" "2" "ENSMUSG00000058812" "0610039K10Rik" "0610039K10Rik"
"Ppp1r2-ps3" "ENSMUSG00000058816_Ppp1r2-ps3" "processed_pseudogene" "19" "ENSMUSG00000058816" "Ppp1r2-ps3" "Ppp1r2-ps3"
"Pirb" "ENSMUSG00000058818_Pirb" "protein_coding" "7" "ENSMUSG00000058818" "Pirb" "Pirb"
"Opn1sw" "ENSMUSG00000058831_Opn1sw" "protein_coding" "6" "ENSMUSG00000058831" "Opn1sw" "Opn1sw"
"Rex1bd" "ENSMUSG00000058833_Rex1bd" "protein_coding" "8" "ENSMUSG00000058833" "Rex1bd" "Rex1bd"
"Abi1" "ENSMUSG00000058835_Abi1" "protein_coding" "2" "ENSMUSG00000058835" "Abi1" "Abi1"
"Rps27a-ps2" "ENSMUSG00000058838_Rps27a-ps2" "processed_pseudogene" "9" "ENSMUSG00000058838" "Rps27a-ps2" "Rps27a-ps2"
"Gm4832" "ENSMUSG00000058869_Gm4832" "transcribed_processed_pseudogene" "17" "ENSMUSG00000058869" "Gm4832" "Gm4832"
"Zfp516" "ENSMUSG00000058881_Zfp516" "protein_coding" "18" "ENSMUSG00000058881" "Zfp516" "Zfp516"
"Zfp708" "ENSMUSG00000058883_Zfp708" "protein_coding" "13" "ENSMUSG00000058883" "Zfp708" "Zfp708"
"Olfr1025-ps1" "ENSMUSG00000058884_Olfr1025-ps1" "protein_coding" "2" "ENSMUSG00000058884" "Olfr1025-ps1" "Olfr1025-ps1"
"Deaf1" "ENSMUSG00000058886_Deaf1" "protein_coding" "7" "ENSMUSG00000058886" "Deaf1" "Deaf1"
"Col25a1" "ENSMUSG00000058897_Col25a1" "protein_coding" "3" "ENSMUSG00000058897" "Col25a1" "Col25a1"
"Rsl1" "ENSMUSG00000058900_Rsl1" "protein_coding" "13" "ENSMUSG00000058900" "Rsl1" "Rsl1"
"Gm10051" "ENSMUSG00000058905_Gm10051" "processed_pseudogene" "5" "ENSMUSG00000058905" "Gm10051" "Gm10051"
"Pla2g2a" "ENSMUSG00000058908_Pla2g2a" "polymorphic_pseudogene" "4" "ENSMUSG00000058908" "Pla2g2a" "Pla2g2a"
"C1qtnf3" "ENSMUSG00000058914_C1qtnf3" "protein_coding" "15" "ENSMUSG00000058914" "C1qtnf3" "C1qtnf3"
"Slc10a5" "ENSMUSG00000058921_Slc10a5" "protein_coding" "3" "ENSMUSG00000058921" "Slc10a5" "Slc10a5"
"Gm10052" "ENSMUSG00000058922_Gm10052" "processed_pseudogene" "9" "ENSMUSG00000058922" "Gm10052" "Gm10052"
"1700011I03Rik" "ENSMUSG00000058925_1700011I03Rik" "protein_coding" "18" "ENSMUSG00000058925" "1700011I03Rik" "1700011I03Rik"
"Gm10053" "ENSMUSG00000058927_Gm10053" "protein_coding" "19" "ENSMUSG00000058927" "Gm10053" "Gm10053"
"Gm2174" "ENSMUSG00000058932_Gm2174" "protein_coding" "X" "ENSMUSG00000058932" "Gm2174" "Gm2174"
"Igf1os" "ENSMUSG00000058934_Igf1os" "antisense" "10" "ENSMUSG00000058934" "Igf1os" "Igf1os"
"Tex48" "ENSMUSG00000058935_Tex48" "protein_coding" "4" "ENSMUSG00000058935" "Tex48" "Tex48"
"Cfi" "ENSMUSG00000058952_Cfi" "protein_coding" "3" "ENSMUSG00000058952" "Cfi" "Cfi"
"Fam57b" "ENSMUSG00000058966_Fam57b" "protein_coding" "7" "ENSMUSG00000058966" "Fam57b" "Fam57b"
"Kcnc1" "ENSMUSG00000058975_Kcnc1" "protein_coding" "7" "ENSMUSG00000058975" "Kcnc1" "Kcnc1"
"Usp17lc" "ENSMUSG00000058976_Usp17lc" "protein_coding" "7" "ENSMUSG00000058976" "Usp17lc" "Usp17lc"
"Hdhd5" "ENSMUSG00000058979_Hdhd5" "protein_coding" "6" "ENSMUSG00000058979" "Hdhd5" "Hdhd5"
"Olfr1406" "ENSMUSG00000058981_Olfr1406" "protein_coding" "1" "ENSMUSG00000058981" "Olfr1406" "Olfr1406"
"Vwa8" "ENSMUSG00000058997_Vwa8" "protein_coding" "14" "ENSMUSG00000058997" "Vwa8" "Vwa8"
"Grin2a" "ENSMUSG00000059003_Grin2a" "protein_coding" "16" "ENSMUSG00000059003" "Grin2a" "Grin2a"
"Hnrnpa3" "ENSMUSG00000059005_Hnrnpa3" "protein_coding" "2" "ENSMUSG00000059005" "Hnrnpa3" "Hnrnpa3"
"Sh2d3c" "ENSMUSG00000059013_Sh2d3c" "protein_coding" "2" "ENSMUSG00000059013" "Sh2d3c" "Sh2d3c"
"Gm5409" "ENSMUSG00000059014_Gm5409" "unprocessed_pseudogene" "6" "ENSMUSG00000059014" "Gm5409" "Gm5409"
"Kcp" "ENSMUSG00000059022_Kcp" "protein_coding" "6" "ENSMUSG00000059022" "Kcp" "Kcp"
"9630013D21Rik" "ENSMUSG00000059027_9630013D21Rik" "processed_transcript" "4" "ENSMUSG00000059027" "9630013D21Rik" "9630013D21Rik"
"Olfr128" "ENSMUSG00000059030_Olfr128" "protein_coding" "17" "ENSMUSG00000059030" "Olfr128" "Olfr128"
"Olfr482" "ENSMUSG00000059031_Olfr482" "protein_coding" "7" "ENSMUSG00000059031" "Olfr482" "Olfr482"
"Rpl18a-ps1" "ENSMUSG00000059033_Rpl18a-ps1" "processed_pseudogene" "12" "ENSMUSG00000059033" "Rpl18a-ps1" "Rpl18a-ps1"
"Eno1b" "ENSMUSG00000059040_Eno1b" "protein_coding" "18" "ENSMUSG00000059040" "Eno1b" "Eno1b"
"Klk1b9" "ENSMUSG00000059042_Klk1b9" "protein_coding" "7" "ENSMUSG00000059042" "Klk1b9" "Klk1b9"
"Olfr15" "ENSMUSG00000059043_Olfr15" "protein_coding" "16" "ENSMUSG00000059043" "Olfr15" "Olfr15"
"Frem1" "ENSMUSG00000059049_Frem1" "protein_coding" "4" "ENSMUSG00000059049" "Frem1" "Frem1"
"Tma7-ps" "ENSMUSG00000059058_Tma7-ps" "processed_pseudogene" "1" "ENSMUSG00000059058" "Tma7-ps" "Tma7-ps"
"Rad51b" "ENSMUSG00000059060_Rad51b" "protein_coding" "12" "ENSMUSG00000059060" "Rad51b" "Rad51b"
"Gm10059" "ENSMUSG00000059064_Gm10059" "processed_pseudogene" "5" "ENSMUSG00000059064" "Gm10059" "Gm10059"
"Rpl18" "ENSMUSG00000059070_Rpl18" "protein_coding" "7" "ENSMUSG00000059070" "Rpl18" "Rpl18"
"Pth" "ENSMUSG00000059077_Pth" "protein_coding" "7" "ENSMUSG00000059077" "Pth" "Pth"
"Olfr698" "ENSMUSG00000059087_Olfr698" "protein_coding" "7" "ENSMUSG00000059087" "Olfr698" "Olfr698"
"Fcgr4" "ENSMUSG00000059089_Fcgr4" "protein_coding" "1" "ENSMUSG00000059089" "Fcgr4" "Fcgr4"
"Olfr1504" "ENSMUSG00000059105_Olfr1504" "protein_coding" "19" "ENSMUSG00000059105" "Olfr1504" "Olfr1504"
"Olfr961" "ENSMUSG00000059106_Olfr961" "protein_coding" "9" "ENSMUSG00000059106" "Olfr961" "Olfr961"
"Ifitm6" "ENSMUSG00000059108_Ifitm6" "protein_coding" "7" "ENSMUSG00000059108" "Ifitm6" "Ifitm6"
"Olfr1263" "ENSMUSG00000059112_Olfr1263" "protein_coding" "2" "ENSMUSG00000059112" "Olfr1263" "Olfr1263"
"Lrrc74a" "ENSMUSG00000059114_Lrrc74a" "protein_coding" "12" "ENSMUSG00000059114" "Lrrc74a" "Lrrc74a"
"Nap1l4" "ENSMUSG00000059119_Nap1l4" "protein_coding" "7" "ENSMUSG00000059119" "Nap1l4" "Nap1l4"
"Olfr814" "ENSMUSG00000059134_Olfr814" "protein_coding" "10" "ENSMUSG00000059134" "Olfr814" "Olfr814"
"Olfr539" "ENSMUSG00000059136_Olfr539" "protein_coding" "7" "ENSMUSG00000059136" "Olfr539" "Olfr539"
"Zfp945" "ENSMUSG00000059142_Zfp945" "protein_coding" "17" "ENSMUSG00000059142" "Zfp945" "Zfp945"
"Ntrk3" "ENSMUSG00000059146_Ntrk3" "protein_coding" "7" "ENSMUSG00000059146" "Ntrk3" "Ntrk3"
"Mfsd4a" "ENSMUSG00000059149_Mfsd4a" "protein_coding" "1" "ENSMUSG00000059149" "Mfsd4a" "Mfsd4a"
"Rpl26-ps4" "ENSMUSG00000059150_Rpl26-ps4" "processed_pseudogene" "16" "ENSMUSG00000059150" "Rpl26-ps4" "Rpl26-ps4"
"Gm8129" "ENSMUSG00000059159_Gm8129" "processed_pseudogene" "6" "ENSMUSG00000059159" "Gm8129" "Gm8129"
"Krt40" "ENSMUSG00000059169_Krt40" "protein_coding" "11" "ENSMUSG00000059169" "Krt40" "Krt40"
"Pde1a" "ENSMUSG00000059173_Pde1a" "protein_coding" "2" "ENSMUSG00000059173" "Pde1a" "Pde1a"
"Gm8991" "ENSMUSG00000059179_Gm8991" "processed_pseudogene" "5" "ENSMUSG00000059179" "Gm8991" "Gm8991"
"Skap2" "ENSMUSG00000059182_Skap2" "protein_coding" "6" "ENSMUSG00000059182" "Skap2" "Skap2"
"Mtfmt" "ENSMUSG00000059183_Mtfmt" "protein_coding" "9" "ENSMUSG00000059183" "Mtfmt" "Mtfmt"
"Fam19a1" "ENSMUSG00000059187_Fam19a1" "protein_coding" "6" "ENSMUSG00000059187" "Fam19a1" "Fam19a1"
"Gm12715" "ENSMUSG00000059195_Gm12715" "processed_pseudogene" "4" "ENSMUSG00000059195" "Gm12715" "Gm12715"
"Lep" "ENSMUSG00000059201_Lep" "protein_coding" "6" "ENSMUSG00000059201" "Lep" "Lep"
"Il1rapl2" "ENSMUSG00000059203_Il1rapl2" "protein_coding" "X" "ENSMUSG00000059203" "Il1rapl2" "Il1rapl2"
"Vmn1r71" "ENSMUSG00000059206_Vmn1r71" "protein_coding" "7" "ENSMUSG00000059206" "Vmn1r71" "Vmn1r71"
"Hnrnpm" "ENSMUSG00000059208_Hnrnpm" "protein_coding" "17" "ENSMUSG00000059208" "Hnrnpm" "Hnrnpm"
"Ddn" "ENSMUSG00000059213_Ddn" "protein_coding" "15" "ENSMUSG00000059213" "Ddn" "Ddn"
"Gm13084" "ENSMUSG00000059218_Gm13084" "protein_coding" "4" "ENSMUSG00000059218" "Gm13084" "Gm13084"
